画像	始点X	始点Y	終点X	終点Y	o有無	o地味派手	o丈	oR	oG	oB	o目詰	o目粗	o薄	o厚	o軽	o重	o柔	o堅	oツル	oザラ	o模様	i地味派手	i丈	iR	iG	iB	i目詰	i目粗	i薄	i厚	i軽	i重	i柔	i堅	iツル	iザラ	i模様	b地味派手	b丈	bR	bG	bB	b目詰	b目粗	b薄	b厚	b軽	b重	b柔	b堅	bツル	bザラ	b模様	
000000001.jpg	337	13	583	803	1	0	1	78	35	46	0	0	1	0	1	0	1	0	0	0	0	0	1	78	35	46	0	0	1	0	1	0	1	0	0	0	0	0	1	32	29	37	0	0	0	1	0	0	1	0	0	0	0
000000002.jpg	64	40	544	967	1	0	1	134	114	104	0	0	0	1	0	0	0	1	0	1	0	0	1	134	114	104	0	0	1	0	1	0	0	0	0	0	1	0	1	30	42	49	1	0	0	0	0	0	0	1	0	1	0
000000003.jpg	57	14	143	248	1	0	1	40	48	51	0	0	0	1	0	0	1	0	0	0	0	0	1	40	48	51	0	0	0	0	0	0	0	0	0	0	0	0	1	94	116	113	0	0	0	0	0	0	0	0	1	0	0
000000004.jpg	91	25	296	681	1	0	1	74	76	91	0	0	0	0	0	0	0	0	1	0	0	1	1	74	76	91	0	1	1	0	0	0	1	0	0	0	6	0	1	85	118	173	0	0	0	0	0	0	0	0	0	1	0
000000005.jpg	163	23	349	558	1	0	0.7	96	100	83	0	0	0	0	1	0	0	0	0	1	0	0	0.7	96	100	83	0	0	1	0	0	0	1	0	0	0	3	0	1	14	18	31	0	0	0	0	0	0	0	1	0	1	0
000000006.jpg	112	10	286	578	1	0	1	32	33	36	0	0	0	1	0	1	1	0	0	0	0	0	1	32	33	36	0	0	1	0	1	0	1	0	0	0	0	0	1	94	97	86	0	0	0	1	0	0	1	0	0	0	0
000000007.jpg	191	15	453	860	1	1	0	106	103	101	0	1	0	1	0	0	1	0	0	0	1	0	1	106	103	101	0	0	0	0	0	0	1	0	0	0	0	0	1	105	105	106	0	0	1	0	0	0	0	0	1	0	0
000000008.jpg	68	13	232	564	1	0	1	72	75	89	0	0	0	0	0	0	0	0	0	0	0	0	1	72	75	89	0	0	0	1	0	0	1	0	0	0	4	0	1	5	2	14	0	0	0	1	0	0	1	0	0	0	0
000000009.jpg	114	29	221	457	1	0	1	38	38	45	0	0	0	0	0	1	1	0	0	0	0	0	1	38	38	45	0	0	1	0	1	0	0	0	0	0	3	0	1	132	115	104	0	0	0	0	0	0	0	0	1	0	0
000000010.jpg	183	39	343	601	1	0	1	51	63	83	1	0	0	0	0	0	0	0	0	1	0	0	1	51	63	83	0	0	0	0	1	0	1	0	0	0	0	0	1	142	165	183	0	0	0	0	0	0	0	0	0	1	0
000000011.jpg	77	14	241	454	1	0	0.7	60	58	60	0	0	1	0	1	0	1	0	0	0	4	0	0.3	60	58	60	0	0	0	0	0	0	1	0	0	0	0	0	1	22	20	22	0	0	0	1	0	0	1	0	0	0	0
000000012.jpg	229	38	375	626	1	0	0	174	158	141	1	0	0	0	1	0	0	0	0	1	4	0	0.3	174	158	141	0	0	1	0	1	0	1	0	0	0	0	0	1	89	97	94	0	0	1	0	1	0	0	0	0	0	4
000000013.jpg	109	28	265	577	1	0	1	28	26	28	0	0	0	1	0	0	0	0	0	0	0	0	1	28	26	28	0	0	1	0	0	0	1	0	0	0	0	0	1	131	113	100	0	0	0	0	0	0	1	0	1	0	0
000000014.jpg	79	2	165	261	1	0	1	21	23	29	0	0	0	1	0	0	0	0	0	0	0	0	1	21	23	29	0	0	1	0	1	0	0	0	0	0	0	0	1	131	114	98	0	0	0	0	0	0	0	0	1	0	0
000000015.jpg	82	21	506	857	1	0	1	38	52	70	0	0	0	1	0	1	1	0	1	0	0	0	1	38	52	70	0	0	0	0	0	0	0	0	0	1	0	0	1	15	24	38	0	0	0	0	0	0	1	0	1	0	0
000000016.jpg	38	7	155	269	0	0	1	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0.5	255	255	255	0	0	1	0	0	0	0	0	0	0	0	0	0.7	238	232	216	0	1	1	0	0	0	1	0	0	0	0
000000017.jpg	184	12	440	639	1	0	1	59	72	61	0	0	0	1	0	0	0	0	1	0	0	0	1	59	72	61	0	0	0	1	0	0	1	0	0	0	0	0	1	36	73	110	0	0	1	0	0	0	0	0	0	1	0
000000018.jpg	0	0	0	0	1	0	1	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	1	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	1	255	255	255	0	0	0	0	0	0	0	0	0	0	0
000000019.jpg	287	8	597	398	1	0	1	2	3	4	0	0	0	0	0	0	0	1	1	0	0	0	1	2	3	4	0	0	1	0	0	0	0	0	1	0	0	0	1	96	138	169	0	0	0	0	0	0	0	0	0	1	0
000000021.jpg	78	8	244	456	0	0	0.5	41	39	41	0	0	0	0	0	0	0	0	0	0	0	0	0.5	41	39	41	0	0	1	0	0	0	0	0	0	1	0	0	1	21	20	19	0	0	0	1	0	0	0	1	0	0	0
000000023.jpg	53	1	167	290	1	0	1	11	9	11	0	0	0	1	0	1	0	0	0	0	0	0	1	11	9	11	0	0	1	0	0	0	0	0	0	0	2	0	1	201	172	149	0	0	0	0	1	0	0	0	0	0	0
