画像	肌R	肌G	肌B	髪R	髪G	髪B	幅比	輪郭
000000008.jpg	235	194	181	49	40	47	3.263157894736842	b'square'
000000009.jpg	199	156	134	27	25	25	3.025	b'circle'
000000012.jpg	181	130	99	66	44	26	3.5625	b'square'
000000013.jpg	224	175	146	36	30	28	3.0869565217391304	b'square'
000000014.jpg	215	166	138	34	27	22	2.6744186046511627	b'square'
000000015.jpg	228	195	186	203	173	160	2.367088607594937	b'square'
000000022.JPEG	208	171	165	53	35	34	2.86046511627907	b'square'
000000024.jpg	148	100	81	28	23	19	2.566666666666667	b'square'
000000025.jpg	210	170	141	34	29	30	1.7209302325581395	b'square'
000000027.jpg	190	132	118	68	39	41	3.806451612903226	b'square'
000000030.jpg	209	170	165	86	76	98	3.4375	b'square'
000000032.jpg	234	180	145	83	56	31	3.0	b'square'
000000033.jpg	215	166	138	34	27	22	2.6744186046511627	b'square'
000000035.jpg	214	154	126	86	52	37	2.4705882352941178	b'square'
000000036.jpg	226	178	154	36	30	27	2.9152542372881354	b'square'
000000037.jpg	204	163	135	121	117	115	2.5434782608695654	b'square'
000000039.jpg	195	174	157	116	115	118	2.6956521739130435	b'square'
000000042.jpg	223	175	157	166	152	145	2.404255319148936	b'square'
000000044.jpg	218	189	178	127	102	90	2.395348837209302	b'square'
000000046.png	186	138	112	16	11	11	3.3846153846153846	b'square'
000000047.jpg	169	132	109	68	54	50	2.1904761904761907	b'circle'
000000049.jpg	214	194	198	102	108	130	2.8620689655172415	b'square'
000000051.jpg	178	142	130	40	37	37	2.5142857142857142	b'square'
000000053.jpg	223	175	157	166	152	145	2.404255319148936	b'square'
000000057.jpg	191	146	129	133	96	80	2.857142857142857	b'square'
000000058.jpg	169	119	98	58	47	49	2.4651162790697674	b'circle'
000000061.jpg	169	119	98	58	47	49	2.4651162790697674	b'circle'
000000062.jpg	214	170	140	10	10	12	4.415094339622642	b'square'
000000063.jpg	232	195	181	147	118	106	2.6538461538461537	b'square'
000000064.jpg	157	126	123	23	16	13	1.7777777777777777	b'square'
000000066.jpg	201	154	126	147	105	78	2.5952380952380953	b'square'
000000068.png	174	124	101	37	29	23	2.740740740740741	b'square'
000000071.jpg	244	197	176	85	53	46	2.186046511627907	b'square'
000000073.jpg	235	198	170	82	58	50	3.340909090909091	b'square'
000000074.jpg	226	177	152	80	66	72	2.4878048780487805	b'square'
000000075.jpg	200	156	132	34	32	39	2.619047619047619	b'square'
000000076.jpg	204	151	113	93	91	95	3.2432432432432434	b'square'
000000077.png	233	166	121	38	29	22	2.8846153846153846	b'square'
000000079.jpg	218	166	141	38	30	26	3.119047619047619	b'square'
000000081.jpg	179	138	114	79	52	35	1.5507246376811594	b'square'
000000083.jpg	188	190	194	245	247	247	2.0	b'circle'
000000085.jpg	225	170	138	67	48	37	3.0208333333333335	b'square'
000000087.jpg	219	153	125	250	250	250	3.625	b'square'
000000089.jpg	219	171	145	131	104	88	2.7241379310344827	b'square'
000000091.jpg	207	161	134	50	38	32	2.85	b'square'
000000095.jpg	236	181	152	154	112	90	2.84	b'square'
000000096.jpg	220	188	170	22	19	16	2.8095238095238093	b'square'
000000099.jpg	211	134	103	229	158	130	2.6794871794871793	b'square'
000000004.jpg	234	203	199	130	107	107	2.519230769230769	b'square'
000000088.jpg	214	166	134	113	80	59	2.1363636363636362	b'square'
000000065.jpg	198	155	133	88	67	55	2.7818181818181817	b'square'
